Calendar_Year,ACARA_SML_ ID,Location_AGE_ID,School_AGE_ID,School_Name,Suburb,State,Postcode,School_Sector,School_Type,Campus_Type,Rolled_Reporting_Description,Year_Range,Geolocation,ICSEA,ICSEA_Percentile,Bottom_SEA_Quarter_(%),Lower_Middle_SEA Quarter_(%),Upper_Middle_SEA_Quarter_(%),Top_SEA_Quarter_(%),Teaching_Staff,Full_Time_Equivalent_Teaching_Staff,Non-Teaching_Staff,Full_Time_Equivalent_Non-Teaching_Staff,Total_Enrolments,Girls_Enrolments,Boys_Enrolments,Full_Time_Equivalent_Enrolments,Indigenous_Enrolments_(%),Language_Background_Other_Than_English-Yes_(%),Language_Background_Other_Than_English-No_(%),Language_Background_Other_Than_English-Not_Stated_(%),ratio
2022,45480,57171,17171,Kambrya College,Berwick,VIC,3806,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1029,60,24,32,28,17,149,132.4,68,54.9,1766,831,935,1764.8,1,40,60,0,11.85234899
2022,45594,68202,28202,Nossal High School,Berwick,VIC,3806,Government,Secondary,School Single Entity,Individual Reporting,09-Dec,Major Cities,1136,93,4,11,29,55,65,57.8,30,21.6,831,359,472,829.4,0,90,9,1,12.78461538
2022,45357,48389,8389,Blackburn High School,Blackburn,VIC,3130,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1092,82,9,21,34,37,102,95.2,44,30.9,1283,557,726,1282.9,0,34,65,1,12.57843137
2022,45359,48381,8381,Box Hill High School,Box Hill,VIC,3128,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1127,91,5,14,29,52,119,103.4,30,23.4,1393,565,828,1390.7,0,59,41,0,11.70588235
2022,45823,40893,893,Our Lady of Sion College,Box Hill,VIC,3128,Catholic,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1098,84,5,18,40,38,84,73.1,41,36.2,949,949,0,949,0,6,94,0,11.29761905
2022,40900,55901,15901,Caroline Chisholm Catholic College,Braybrook,VIC,3019,Catholic,Secondary,School Head Campus,Rolled Reporting,07-Dec,Major Cities,1022,57,26,31,29,15,106,101.3,63,53,1452,633,819,1452,0,41,59,0,13.69811321
2022,45360,46184,6184,Braybrook College,Braybrook,VIC,3019,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,960,29,50,27,16,7,142,121.1,59,33.2,1365,654,711,1365,1,85,15,0,9.612676056
2022,45675,41272,1272,Star of the Sea College,Brighton,VIC,3186,Catholic,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1125,90,3,13,34,50,113,101.9,34,29.9,1194,1194,0,1194,0,4,96,0,10.56637168
2022,45362,49274,9274,Brighton Secondary College,Brighton East,VIC,3187,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1119,89,6,14,32,48,101,85.9,34,25.2,1043,430,613,1040.3,0,33,65,2,10.32673267
2022,46096,54377,14377,Penola Catholic College,Broadmeadows,VIC,3047,Catholic,Secondary,School Head Campus,Rolled Reporting,07-Dec,Major Cities,989,42,39,29,21,11,160,143.2,89,65.9,1478,636,842,1478,1,43,57,0,9.2375
2022,50190,56073,16073,Hume Central Secondary College,Broadmeadows,VIC,3047,Government,Secondary,School Head Campus,Rolled Reporting,07-Dec,Major Cities,881,7,74,17,8,2,145,125.2,71,62.5,1176,504,672,1176,2,83,17,0,8.110344828
